Game,As of,Genre(s),Developer(s),Publisher(s),Copies_sold,Release_date,Metacritic_url,Critic_score,User_score,Number_of_critic_reviews,Number_of_user_reviews,Description,Price,Image
Minecraft,"October 22, 2022",Sandboxsurvival,Mojang,JP: Xbox Game StudiosNA/PAL: Mojang,5.03 million,05/11/2017,https://www.metacritic.com/game/minecraft,82.0,7.9,63.0,1032.0,Minecraft: Xbox One Edition is a game about placing blocks to build anything you can imagine and was revealed at E3 that it will be coming to the Xbox One.,23.6921,https://upload.wikimedia.org/wikipedia/en/5/51/Minecraft_cover.png
Suika Game,"December 14, 2023",Puzzle,Aladdin X,Aladdin X,5.0 million,12/09/2021,https://www.metacritic.com/game/suika-game,N/A,8.2,N/A,17.0,"To prevent the fruits from overflowing from the box, collide the same kind of fruit. As you collide fruits, their types change. Let's create big watermelons!

This is a game where you combine two small fruits to make them larger and create big watermelons.",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/9/98/Sukia_Game_main_artwork.png/220px-Sukia_Game_main_artwork.png
Clubhouse Games: 51 Worldwide Classics,"December 31, 2022",Tabletop game,NDcube,Nintendo,4.64 million,06/05/2020,https://www.metacritic.com/game/clubhouse-games-51-worldwide-classics,82.0,7.7,68.0,169.0,"Play and discover 51 board games, tabletop games, and more all in one package -- Clubhouse Games: 51 Worldwide Classics. This diverse collection includes games from all over the world across multiple genres, from familiar favorites like Chess to international hits like Mancala that have been around for 100s of years!

Enjoy familiar fa... ",31.5921,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Clubhouse_Games_51_Worldwide_Classics.jpg/220px-Clubhouse_Games_51_Worldwide_Classics.jpg
Donkey Kong Country: Tropical Freeze,"December 31, 2022",Platformer,Retro Studios,Nintendo,4.62 million,05/04/2018,https://www.metacritic.com/game/donkey-kong-country-tropical-freeze,83.0,9.0,77.0,951.0,"Donkey Kong Country: Tropical Freeze has players help Donkey Kong and his friends get back their home from Vikings. Swing, swim, leap, and barrel-blast your way through tons of eye-popping levels to save DK Island from a permanent freeze.",35.542100000000005,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/DKC5_box_art.jpg/220px-DKC5_box_art.jpg
Mario Tennis Aces,"December 31, 2022",Sports,Camelot Software Planning,Nintendo,4.5 million,06/22/2018,https://www.metacritic.com/game/mario-tennis-aces,75.0,7.0,93.0,616.0,A new Mario Tennis game is bringing a new level of skill and competition to Nintendo Switch. Mario steps onto the court in classy tennis garb for intense rallies against a variety of characters in full-blown tennis battles. New wrinkles in tennis gameplay will challenge your ability to read an opponent's position and stroke to determine ... ,47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Mario_Tennis_Aces.jpg/220px-Mario_Tennis_Aces.jpg
Kirby Star Allies,"December 31, 2022",Platformer,HAL Laboratory,Nintendo,4.38 million,03/16/2018,https://www.metacritic.com/game/kirby-star-allies,73.0,7.4,87.0,579.0,"The pink puff is backin HDand he's not alone. Kirby is backand he's finally on the Nintendo Switch console in HD. But this time, he's not alone. Recruit enemies by hitting them with hearts and gather helpers for a party of up to four characters. On top of that, you can join with up to three friends for a different kind of team-up action.... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Kirby_Star_Allies.jpg/220px-Kirby_Star_Allies.jpg
Super Mario Bros. Wonder,"October 29, 2023",Platformer,Nintendo EPD,Nintendo,4.3 million,10/20/2023,https://www.metacritic.com/game/super-mario-bros-wonder,92.0,9.2,134.0,1630.0,"Find wonder in the next evolution of Mario fun. Classic Mario side-scrolling gameplay is turned on its head with the addition of Wonder Flowers. These game-changing items trigger spectacular moments you have to see to believe...Witness pipes coming alive, wreak havoc as a giant spiky ball, and see even more unexpected events called Wonde... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Mariowonder.png/220px-Mariowonder.png
The Legend of Zelda: Skyward Sword HD,"December 31, 2022",Action-adventure,Tantalus Media,Nintendo,4.150000000000001 million,07/16/2021,https://www.metacritic.com/game/the-legend-of-zelda-skyward-sword-hd,81.0,7.4,111.0,773.0,"Take to the skies, draw your sword, and experience the earliest story in the Legend of Zelda series. Join Link in his high-flying quest to save Zelda, a childhood friend who must confront her destiny. Soar between floating islands and descend to the treacherous surface world in this updated HD version of the Legend of Zelda: Skyward Swor... ",35.542100000000005,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Legend_of_Zelda_Skyward_Sword_boxart.png/220px-Legend_of_Zelda_Skyward_Sword_boxart.png
Fire Emblem: Three Houses,"December 31, 2022",Tactical role-playing,Intelligent SystemsKoei Tecmo,Nintendo,4.12 million,07/26/2019,https://www.metacritic.com/game/fire-emblem-three-houses,89.0,8.8,109.0,2978.0,"War is coming to the continent of Fódlan. Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer's Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As thei... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Fire_Emblem_Three_Houses.jpg/220px-Fire_Emblem_Three_Houses.jpg
Hyrule Warriors: Age of Calamity,"January 4, 2022",Hack and slash,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,4.0 million,11/20/2020,https://www.metacritic.com/game/hyrule-warriors-age-of-calamity,78.0,8.0,118.0,678.0,"See Hyrule 100 years before the Legend of Zelda: Breath of the Wild game and experience the events of the Great Calamity. Join the struggle that brought Hyrule to its knees. Learn more about Zelda, the four Champions, the King of Hyrule and more through dramatic cutscenes as they try to save the kingdom from Calamity. The Hyrule Warriors... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Hyrule_Warriors_Age_Of_Calamity.jpg/220px-Hyrule_Warriors_Age_Of_Calamity.jpg
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!","July 19, 2023",Board game,Konami,JP: Konami,4.0 million,11/19/2020,https://www.metacritic.com/game/momotaro-dentetsu-showa-heisei-reiwa-mo-teiban,N/A,N/A,N/A,N/A,N/A,N/A,
1-2-Switch,"December 31, 2022",Party,Nintendo EPD,Nintendo,3.74 million,03/03/2017,https://www.metacritic.com/game/1-2-switch,58.0,4.8,65.0,475.0,"Throw an impromptu party anywhere with anyone thanks to a new play style in which players look at each other—not the screen. Bring the action and fun into the real world as you face off in wild-west duels, cow-milking competitions, a copycat dance-off, and more. Each game takes advantage of the Joy-Con controller features of the Nintendo... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/1-2-Switch.jpg/220px-1-2-Switch.jpg
Paper Mario: The Origami King,"December 31, 2022",Role-playing/Action-adventure,Intelligent Systems,Nintendo,3.47 million,07/17/2020,https://www.metacritic.com/game/paper-mario-the-origami-king,80.0,7.0,122.0,1806.0,"Featuring a new ring-based battle system that mixes puzzle-solving skills with traditional turn-based combat, Paper Mario: The Origami King aims to put new twists in the series' established formula.",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Paper_Mario_The_Origami_King.jpg/220px-Paper_Mario_The_Origami_King.jpg
Yoshi's Crafted World,"December 31, 2022",Platformer,Good-Feel,Nintendo,3.35 million,03/29/2019,https://www.metacritic.com/game/yoshis-crafted-world,79.0,7.9,98.0,383.0,"Discover the flip side of Yoshis world. Lead Yoshi on a brand new adventure that will turn everything youve come to expect from side-scrolling games upside down! Explore a great, big world decorated like a miniature diorama in a new art style for the franchise, where each side-scrolling stage has the traditional front side as well as a f... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Yoshi%27s_Crafted_World.jpg/220px-Yoshi%27s_Crafted_World.jpg
